iter	Passed	Remaining
213	315	1157
214	316	1153
215	317	1150
216	318	1147
217	318	1143
218	319	1140
219	320	1136
220	321	1133
221	322	1129
222	323	1126
223	324	1123
224	325	1119
225	325	1116
226	326	1112
227	327	1109
228	328	1105
229	329	1102
230	330	1099
231	331	1096
232	332	1092
233	332	1089
234	333	1085
235	334	1082
236	335	1079
237	336	1076
238	337	1073
239	337	1070
240	338	1066
241	339	1063
242	340	1060
243	341	1056
244	342	1054
245	342	1051
246	343	1048
247	344	1045
248	345	1042
249	346	1039
250	347	1035
251	348	1034
252	349	1031
253	350	1028
254	352	1028
255	352	1025
256	353	1022
257	355	1021
258	356	1019
259	357	1016
260	357	1013
261	358	1010
262	359	1007
263	360	1004
264	361	1002
265	362	999
266	363	997
267	364	994
268	364	991
269	365	988
270	366	986
271	367	984
272	368	981
273	369	978
274	370	976
275	371	973
276	372	970
277	372	968
278	373	966
279	374	963
280	375	961
281	376	958
282	377	955
283	377	952
284	378	949
285	379	947
286	380	945
287	381	942
288	382	939
289	382	937
290	383	935
291	384	932
292	385	930
293	386	927
294	387	925
295	388	923
296	388	920
297	389	918
298	390	915
299	391	913
300	392	911
301	393	909
302	394	906
303	395	904
304	395	902
305	396	899
306	397	897
307	398	895
308	399	893
309	400	890
310	401	888
311	401	885
312	402	883
313	403	881
314	404	879
315	405	877
316	406	875
317	407	872
318	407	870
319	408	868
320	409	866
321	410	864
322	411	862
323	412	860
324	413	858
325	414	856
326	414	853
327	415	851
328	416	850
329	417	847
330	418	845
331	419	843
332	420	841
333	421	839
334	421	837
335	422	835
336	423	833
337	424	831
338	425	829
339	426	827
340	427	825
341	427	823
342	428	821
343	429	819
344	430	817
345	431	815
346	432	813
347	432	811
348	433	809
349	434	807
350	435	805
351	436	803
352	437	801
353	438	799
354	438	797
355	439	795
356	440	793
357	441	791
358	442	789
359	443	788
360	444	786
361	444	784
362	445	782
363	446	780
364	447	778
365	448	776
366	449	774
367	450	772
368	450	771
369	451	769
370	452	767
371	453	766
372	454	764
373	455	762
374	456	760
375	457	759
376	458	757
377	459	755
378	460	753
379	461	752
380	461	750
381	462	748
382	463	747
383	464	745
384	465	743
385	466	742
386	467	740
387	468	739
388	469	737
389	470	736
390	472	735
391	473	734
392	474	732
393	475	731
394	476	729
395	477	727
396	478	726
397	479	725
398	480	723
399	481	721
400	482	720
401	483	718
402	483	716
403	484	715
404	485	713
405	486	711
406	487	710
407	488	708
408	488	706
409	489	704
410	490	703
411	491	701
412	492	700
413	493	698
414	494	696
415	494	694
416	495	693
417	496	691
418	497	689
419	498	688
420	499	686
421	499	684
422	500	683
423	501	681
424	502	679
425	503	678
426	504	677
427	505	675
428	506	673
429	506	671
430	507	670
431	508	668
432	509	667
433	510	665
434	511	664
435	512	662
436	512	660
437	513	658
438	514	657
439	515	655
440	516	654
441	516	652
442	517	650
443	518	649
444	519	647
445	520	646
446	521	645
447	522	644
448	523	642
449	524	641
450	525	640
451	527	638
452	528	637
453	529	636
454	531	636
455	532	635
456	533	633
457	534	632
458	535	631
459	537	631
460	538	629
461	539	628
462	540	626
463	541	625
464	542	624
465	543	622
466	544	621
467	544	619
468	545	617
469	547	617
470	549	616
471	550	615
472	551	614
473	552	612
474	553	612
475	555	611
476	556	609
477	557	608
478	559	608
479	561	607
480	562	606
481	562	604
482	563	603
483	566	603
484	567	602
485	568	601
486	569	600
